"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","DSC_TIPO_PENAL","ANO","MES","NUM_AUDIENCIAS"
N,AM,CONSTRANGIMENTO ILEGAL,2019,9,1
N,PI,AMEACA,,,37
N,MG,DISPARO DE ARMA DE FOGO,,,8
N,MT,FEMINICIDIO,,,6
N,,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,2556
N,RO,DIRIGIR VEICULO SEM CNH,2019,9,3
N,CE,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,4,6
I,CE,AMEACA,,,1
N,PI,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,9,1
N,BA,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,18
I,PI,LESAO CORPORAL,2019,9,2
N,RS,FURTO SIMPLES,2019,9,12
I,SE,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,9,2
N,SP,FEMINICIDIO,1971,8,1
I,,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,,,2
I,SP,DESACATO,2019,9,5
N,,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,,,789
N,,FALSIDADE IDEOLOGICA,,,114
N,CE,LESAO CORPORAL,2019,9,5
N,PE,DROGAS PARA O CONSUMO PESSOAL,2019,9,1
N,GO,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,9,1
I,MG,DROGAS PARA O CONSUMO PESSOAL,2019,9,1
N,CE,DANO,2019,9,9
N,PI,ROUBO AGRAVADO,,,37
N,PI,ROUBO COM RESULTADO DE MORTE,2019,9,1
N,MG,DROGAS PARA O CONSUMO PESSOAL,2019,9,4
N,,"ADQUIRIR, POSSUIR OU ARMAZENAR MATERIAL PORNOGRAFICO C CRIANCA OU ADOLESCENTE",2019,9,2
S,SP,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,9,2
S,SP,HOMICIDIO SIMPLES,2019,9,4
N,AC,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,9,2
S,,ALICIAR CRIANCA PARA A PRATICA DE ATO LIBIDINOSO,2019,7,1
N,CE,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2017,1,1
I,,AMEACA,2019,4,1
N,PI,ROUBO AGRAVADO,2019,9,10
N,RS,HOMICIDIO SIMPLES,,,352
N,SC,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",,,905
N,SP,AMEACA,2017,11,1
N,,MOEDA FALSA,2019,9,10
N,PB,HOMICIDIO SIMPLES,2019,5,2
S,,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,4,1
N,RS,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,,,109
S,CE,PERTURBACAO DA TRANQUILIDADE,2019,9,1
S,RS,COMERCIO ILEGAL DE ARMA DE FOGO,2019,9,1
S,CE,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",2019,9,21
S,,ROUBO,2019,4,1
I,,FURTO SIMPLES,2019,4,1
N,AL,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,9,6
I,SP,"POSSE, EMPREGO ARTEFATO EXPLOSIVO DESAUTORIZADO",2019,9,1
N,PB,SATISFACAO DE LASCIVIA MEDIANTE PRESENCA DE CRIANCA OU ADOLESCENTE,2019,9,1
N,CE,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,18
N,CE,ESTUPRO DE VULNERAVEL,2019,7,4
N,AP,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,8
N,,VIOLACAO DE DOMICILIO,,,441
N,AP,HOMICIDIO QUALIFICADO,2019,9,1
S,RO,,2019,9,1
N,,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,7,13
N,PB,PERTURBACAO DO TRABALHO OU SOSSEGO ALHEIO,2019,9,1
S,RS,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,9,5
N,,FRAUDE NA ENTREGA DE COISA,2019,9,3
N,AP,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,6,1
I,SP,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,7,1
N,SC,DESOBEDIENCIA,2019,9,3
N,MA,FURTO DE COISA COMUM,2019,9,2
N,RS,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,245
N,SC,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,7,4
N,,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,1,5
N,SP,CONTRABANDO,2019,9,1
N,GO,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,2,1
N,GO,INJURIA,,,148
N,,FURTO QUALIFICADO,2019,3,10
N,RO,DESACATO,2019,9,1
N,CE,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",2019,9,24
N,RS,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,9,19
N,CE,VIOLACAO DE DOMICILIO,,,18
N,RS,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,465
S,PR,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,9,8
N,AM,DESACATO,2019,9,1
N,,FURTO SIMPLES,2019,7,23
N,,USO DE DOCUMENTO FALSO,,,629
I,SP,EMBRIAGUEZ,,,1
S,SP,FALSA IDENTIDADE,2019,9,1
N,PB,ASSOCIAÇAO CRIMINOSA,2019,9,5
S,PA,ESTELIONATO,2019,9,1
S,SP,"ART. 290 -TRÁFICO, POSSE OU USO ENTORPECENTE - CPM",2019,9,1
S,,INJURIA,2019,9,1
N,PR,PERTURBACAO DA TRANQUILIDADE,2019,9,1
N,PB,DANO,2019,9,2
N,AP,FURTO QUALIFICADO,2019,8,1
N,,PRATICAR LESAO CORPORAL CULPOSA NA DIRECAO DE VEICULO AUTOMOTOR,2019,3,2
S,RJ,FURTO SIMPLES,,,137
N,GO,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,8,1
N,RS,DISPARO DE ARMA DE FOGO,2019,9,2
N,,FURTO DE COISA COMUM,2019,9,1
N,SC,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,7,2
N,PA,DESACATO,,,3
N,PA,"OFERECER DROGA, EVENTUALMENTE E SEM OBJETIVO DE LUCRO, A PESSOA DE SEU RELACIONAMENTO, PARA JUNTOS A",,,6
N,SC,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,8,4
N,SP,ROUBO,2019,10,581
N,PA,CORRUPCAO ATIVA,2019,9,1
N,,INJURIA,2019,10,63
N,MT,HOMICIDIO QUALIFICADO,,,58
N,PE,FURTO QUALIFICADO,,,333
S,AM,ROUBO AGRAVADO,2019,9,5
N,,ANTECIPAR/INVERTER ORDEM DE PAGAMENTO A CREDORES,,,7
S,SP,AMEACA,2019,10,20
N,BA,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,9,5
N,SP,ESTELIONATO,2019,7,6
N,PA,ROUBO AGRAVADO,2019,10,58
S,PE,AMEACA,,,34
N,,IMPORTUNAÇÃO SEXUAL,2019,4,1
N,MG,RESISTENCIA,,,31
N,RS,LESAO CORPORAL DE NATUREZA GRAVE,2019,9,1
N,RS,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,9,7
N,PA,DANO QUALIFICADO,2019,9,4
N,,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",,,1041
N,RO,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,8,1
N,PE,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,9,7
N,BA,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,6,3
N,SP,ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,2019,7,5
N,SP,IMPORTUNAÇÃO SEXUAL,2019,7,3
N,GO,CODIGO PENAL INJURIA REAL,2019,10,6
N,GO,DESACATO,2019,10,6
S,AP,DANO QUALIFICADO,2019,9,1
S,SP,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,9,1
N,SC,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,10,12
N,,ROUBO,2018,10,9
N,,INCENDIO,2019,10,9
N,MT,FURTO QUALIFICADO,2019,9,9
N,SP,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",2019,10,15
S,CE,INCENDIO,,,1
S,CE,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",,,7
S,SP,FALSIDADE IDEOLOGICA,2019,9,1
S,AM,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,9,2
N,SP,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,8,4
N,PR,AMEACA,1983,7,1
N,SP,DANO,2019,10,39
N,SP,FALSIFICACAO DE SELO OU SINAL PUBLICO,2019,9,1
N,GO,"MAQUINARIO, APARELHO, PRODUCAO DE DROGAS",2019,9,1
N,PA,HOMICIDIO SIMPLES,2019,10,8
S,AM,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,9,2
S,CE,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,9,5
N,RO,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,9,3
N,DF,SUBMETER A CRIANCA/ADOLESCENTE A PROSTITUICAO,,,2
N,SC,"SUPRIMIR, ALTERAR QQ SINAL IDENTIFICADOR DE ARMA DE FOGO",2019,9,1
N,PB,FAVORECIMENTO PESSOAL,2019,9,1
S,,FAVORECIMENTO REAL,2019,9,1
S,,AMEACA,,,517
N,SP,ABANDONO DE INCAPAZ,2019,9,2
N,SP,USO DE DOCUMENTO FALSO,2019,7,5
N,AP,RECEPTACAO,2019,9,1
N,,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,10,149
N,RS,VIAS DE FATO,2019,9,2
N,RO,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,,,6
N,BA,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,5,11
S,GO,LESAO CORPORAL,,,12
S,GO,DESOBEDIENCIA,,,8
N,BA,FURTO SIMPLES,2019,9,6
N,PI,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,10,10
N,RO,AMEACA,2019,7,1
N,SP,"CP, ART 214: ATENTADO VIOLENTO AO PUDOR  (REVOGADO PELA LEI Nº 12.015, DE 2009), PENA - RECLUSÃO DE DOIS A SETE ANOS.  (REVOGADO PELA LEI Nº 12.015, DE 2009), RECLUSÃO: 20 ANOS, C/C ART. 224, A, CP",2019,10,1
N,DF,FORNECER FOGOS ARTIFICIO A CRIANCA/ADOLESCENTE,,,1
S,SP,ASSOCIACAO PARA FINS ART. 12 E 13,2019,10,1
N,MT,RESISTENCIA,,,9
N,PE,HOMICIDIO QUALIFICADO,,,53
S,MT,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,9,4
N,SC,FURTO SIMPLES,2019,7,5
N,SP,POSSE/PORTE ILEGAL DE ARMA DE FOGO ACESSORIO OU MUNICAO - USO RESTRITO,2019,7,5
N,PB,SEQUESTRO E CARCERE PRIVADO,2019,9,1
S,BA,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,5,6
S,PA,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,9,1
S,SP,ROUBO COM RESULTADO DE LESAO CORPORAL GRAVE,2019,9,1
N,MG,FALSA IDENTIDADE,,,10
N,,DIFAMACAO,2019,9,3
N,SP,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,7,4
N,RS,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",2019,9,3
N,GO,RECEPTACAO CULPOSA,2019,8,1
N,BA,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,4,2
S,CE,INCENDIO CULPOSO,2019,9,2
N,PR,EXTORSAO,2019,9,1
S,PR,RESISTENCIA,,,17
S,RS,DISPARO DE ARMA DE FOGO,2019,9,1
N,PR,"CONSTITUI CRIME CONTRA O PATRIMÔNIO, NA MODALIDADE DE USURPACAO, PRODUZIR BENS OU EXPLORAR MATÉRIA-PRIMA PERTENCENTES À UNIAO, SEM AUTORIZAÇAO LEGAL OU EM DESACORDO COM AS OBRIGAÇÕES IMPOSTAS PELO TÍT",2019,9,1
N,CE,SUBMETER A CRIANCA/ADOLESCENTE A PROSTITUICAO,2019,9,1
S,MG,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,24
N,,LESAO CORPORAL DE NATUREZA GRAVE,2019,10,4
N,AL,ASSOCIAÇAO CRIMINOSA,2019,6,1
S,MG,HOMICIDIO QUALIFICADO,,,19
N,RS,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,10,38
S,MG,USO DE DOCUMENTO FALSO,2019,9,1
N,MT,AFASTAR-SE DO LOCAL DO ACIDENTE PARA FUGIR DA RESPONSABILIDADE PENAL OU CIVIL,2019,9,2
N,PR,"FINANCIAR - ARTS. 33, CAPUT E  1° , E 34 DESTA LEI",,,14
N,AL,AMEACA,2019,10,16
N,CE,FURTO SIMPLES,2013,6,1
N,RS,PRATICAR LESAO CORPORAL CULPOSA NA DIRECAO DE VEICULO AUTOMOTOR,2019,9,2
N,SC,FURTO SIMPLES,2019,8,2
S,AM,"CP, ART 329: RESISTÊNCIA",2019,9,2
S,RS,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,128
N,SP,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,10,31
N,SC,ASSOCIAÇAO CRIMINOSA,2019,8,1
S,MG,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,2
S,BA,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,9,1
S,PE,"CP, ART 329: RESISTÊNCIA",,,11
N,MA,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,9,3
N,PI,RECEPTACAO QUALIFICADA,2019,9,1
N,GO,VIAS DE FATO,2019,2,1
N,SC,MATAR ESPECIMES DA FAUNA,2019,9,2
S,,ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,2019,10,3
N,RS,FURTO SIMPLES,2019,10,34
N,MA,DANO EM COISA,2019,9,1
N,RO,APROPRIACAO INDEBITA,2019,9,1
N,PA,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,10,16
N,MG,FURTO QUALIFICADO,2019,8,2
N,RS,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,6,1
N,MT,ESTELIONATO,2019,9,2
S,MA,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,9,1
S,RO,ROUBO,2019,10,3
N,SP,VIAS DE FATO,2019,10,22
N,,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,5,11
S,RO,HOMICIDIO QUALIFICADO,2019,9,1
N,SE,DANO,2019,9,1
N,MG,TRAFEGAR EM VELOCIDADE INCOMPATIVEL GERANDO PERIGO DE DANO,2019,9,1
N,CE,ROUBO,2019,5,2
N,MG,IMPORTUNAÇÃO SEXUAL,2019,10,5
N,MG,ROUBO,2019,2,2
N,GO,DESOBEDIENCIA A DECISAO JUDICIAL,,,3
N,MG,INCENDIO CULPOSO,,,1
S,BA,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,10,1
N,,SEQUESTRO E CARCERE PRIVADO,2019,10,11
N,RS,PERTURBACAO DA TRANQUILIDADE,,,6
N,CE,ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,2019,10,3
S,SP,POSSE/PORTE ILEGAL DE ARMA DE FOGO ACESSORIO OU MUNICAO - USO RESTRITO,2019,10,1
N,PR,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",2019,10,27
S,AM,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,10,8
N,SP,PRATICAR LESAO CORPORAL CULPOSA NA DIRECAO DE VEICULO AUTOMOTOR,2019,10,18
S,MG,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,10,56
N,,MOEDA FALSA,2019,10,28
S,AM,RECEPTACAO,2019,10,7
N,SP,SEQUESTRO E CARCERE PRIVADO,2019,10,12
N,RS,LESAO CORPORAL,2019,10,13
S,PR,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,10,30
N,PR,DISPARO DE ARMA DE FOGO,,,10
N,AL,ESTUPRO DE VULNERAVEL,2019,8,1
N,SC,DISPARO DE ARMA DE FOGO,,,13
N,RS,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,10,35
S,PB,SUBMETER A CRIANCA/ADOLESCENTE A PROSTITUICAO,2019,9,1
N,SP,FALSIFICACAO DE PAPEIS PUBLICOS,2019,10,1
N,PE,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",2019,10,19
N,MG,MODIFICAR CARACTERISTICAS ARMA DE FOGO,2019,10,7
N,MT,INJURIA,2019,7,1
S,SC,AMEACA,,,31
S,PR,RESISTENCIA,2019,9,1
N,GO,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,10,50
S,,INJURIA,,,96
N,MT,ROUBO,2019,10,12
S,MG,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,10,11
N,PI,LESAO CORPORAL DE NATUREZA GRAVE,2019,10,3
N,GO,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",,,135
N,RJ,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,,,78
N,PI,"OFERECER DROGA, EVENTUALMENTE E SEM OBJETIVO DE LUCRO, A PESSOA DE SEU RELACIONAMENTO, PARA JUNTOS A",2019,10,3
S,,DIRIGIR VEICULO SEM CNH,2019,5,1
S,RO,ROUBO AGRAVADO,2019,8,1
N,SP,ASSEDIO SEXUAL,2019,7,2
N,SP,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,65
N,RS,"CP, ART 334: CONTRABANDO OU DESCAMINHO",,,28
S,,"PORTE, POSSE ARMA DE FOGO C/ SINAL ADULTERADO, SUPRIMIDO",2019,7,2
N,PE,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,10,16
N,,MODIFICAR CARACTERISTICAS ARMA DE FOGO,2019,10,11
S,MT,CONDUZIR VEÍCULO AUTOMOTOR COM CAPACIDADE PSICOMOTORA ALTERADA EM RAZAO DA INFLUÊNCIA DE ÁLCOOL OU DE OUTRA SUBSTÂNCIA PSICOATIVA QUE DETERMINE DEPENDÊNCIA,2019,9,1
N,PR,CODIGO PENAL INJURIA REAL,,,9
N,PR,LESAO CORPORAL DE NATUREZA GRAVE,,,12
S,PI,RECEPTACAO,,,3
N,SP,FEMINICIDIO,2019,10,6
N,RO,FEMINICIDIO,2019,10,3
N,PE,FEMINICIDIO,2019,10,3
N,GO,ROUBO AGRAVADO,2019,10,11
S,CE,"OFERECER DROGA, EVENTUALMENTE E SEM OBJETIVO DE LUCRO, A PESSOA DE SEU RELACIONAMENTO, PARA JUNTOS A",2019,9,1
N,MA,HOMICIDIO QUALIFICADO,2019,10,12
S,RS,ROUBO,2019,10,10
N,PR,AMEACA,2019,4,4
N,PR,INJURIA,2019,4,2
S,RS,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,10,1
N,PA,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,10,11
N,PE,DESOBEDIENCIA,,,15
N,AM,FEMINICIDIO,2019,10,2
N,GO,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,10,23
N,CE,AMEACA,2019,10,44
N,BA,ASSOCIAÇAO CRIMINOSA,2019,5,9
N,SP,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",1996,11,1
N,BA,USO DE DOCUMENTO FALSO,,,4
N,CE,ROUBO,2000,4,1
N,AM,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,8,2
N,RJ,FURTO SIMPLES,2019,10,14
I,PE,AMEACA,,,1
N,,"FRUSTRAR OU FRAUDAR, MEDIANTE AJUSTE, COMBINAÇAO OU QUALQUER OUTRO EXPEDIENTE, O CARÁTER COMPETITIVO DO PROCEDIMENTO LICITATÓRIO",2019,10,1
N,CE,LESAO CORPORAL - VIOLENCIA DOMESTICA E FAMILIAR,2019,10,38
S,PA,HOMICIDIO SIMPLES,2019,10,1
N,RO,DEIXAR DE PRESTAR SOCORRO EM ACIDENTE COM VITIMA,2019,10,2
N,RO,HOMICIDIO SIMPLES,2019,10,8
N,CE,"PORTE ILEGAL DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,93
N,CE,ROUBO COM RESULTADO DE LESAO CORPORAL GRAVE,,,3
N,PB,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,10,8
N,PA,LESAO CORPORAL DE NATUREZA GRAVE,2009,7,1
N,RO,CRIME MILITAR - DESRESPEITO A SUPERIOR,2019,10,1
S,,IMPORTUNAÇÃO SEXUAL,2019,10,1
N,PB,EMBRIAGUEZ,,,1
N,RS,"MAQUINARIO, APARELHO, PRODUCAO DE DROGAS",2019,10,7
S,CE,"PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZAÇAO CRIMINOSA",2019,10,9
N,CE,FALSA IDENTIDADE,2019,10,9
S,PR,DANO,2019,10,1
N,SP,DANO,2019,7,1
S,PR,RECEPTACAO,2019,10,4
N,PR,"INDUZIR, INSTIGAR OU AUXILIAR ALGUÉM AO USO INDEVIDO DE DROGAS",2019,10,9
S,AM,PERTURBACAO DA TRANQUILIDADE,2019,10,1
N,SC,ATO OBSCENO,2019,10,1
N,PR,CORRUPCAO DE MENORES,2019,10,2
S,DF,FURTO SIMPLES,,,4
N,MA,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,10,9
N,AL,FURTO SIMPLES,2019,10,3
N,,ROUBO COM RESULTADO DE MORTE,2019,10,9
N,PR,CONSTRANGIMENTO ILEGAL,2019,10,1
N,,ABANDONO DE INCAPAZ,2019,10,4
N,,ESTUPRO OU ATENTADO VIOLENTO AO PUDOR,2019,8,2
N,MG,PARTICIPAR DE DISPUTA OU COMPETICAO NAO AUTORIZADA,,,10
N,PE,AMEACA,2019,10,19
N,PB,"POSSE IRREGULAR DE ARMA DE FOGO, ACESSORIO OU MUNICAO - USO PERMITIDO",,,28
N,PR,ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,2019,9,2
N,PA,ESTUPRO OU ATENTADO VIOLENTO AO PUDOR,2019,10,3
S,GO,"ASSOCIAREM-SE PARA A PRATICA DOS ARTS. 33, CAPUT E 1°,  34 E 36 DESTA LEI",2019,10,3
N,CE,LESAO CORPORAL,,,37
N,PR,RECEPTACAO,2019,4,2
S,SP,"COLABORAR, COMO INFORMANTE DOS CRIMES PREVISTOS NOS ARTS. 33, CAPUT E  1°, E 34 DESTA LEI",2019,10,1
N,PR,DISPARO DE ARMA DE FOGO,2019,10,5
S,GO,FURTO SIMPLES,2019,10,3
N,AM,FURTO QUALIFICADO,2019,10,9
N,PR,DROGAS PARA O CONSUMO PESSOAL,2019,10,8
N,PR,CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 DEZOITO ANOS,2019,4,1
S,PA,FURTO SIMPLES,2019,10,5
S,PE,VIOLACAO DE DOMICILIO,,,1
S,PR,FURTO QUALIFICADO,2019,10,9
